FREEDOMWORKS FOR AMERICA	BENTIVOLIO,KERRY	2377300
SUSAN B ANTHONY LIST INC	BLACK,DIANE	5092
SUSAN B ANTHONY LIST INC	BACHMANN,MICHELE	5092
Environment America Action Fund	BROWN,SHERROD	1783320
FAIR SHARE ACTION	BALDWIN,TAMMY	12522600
New Prosperity Foundation; The	BUSTOS,CHERI	21663122
Citizens 4 Ethics in Government	BLACK,DIANE	18778852
FREEDOMWORKS FOR AMERICA	BALDWIN,TAMMY	131639
SENATE CONSERVATIVES ACTION	BROWN,SHERROD	20462500
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	BARROW,JOHN	165640548
AMERICAN MAJORITY ACTION INC.	BROWN,SHERROD	3529450
LIBERTY FOR ALL SUPER PAC	BENTIVOLIO,KERRY	17419001
AMERICANS FOR TAX REFORM	BALDWIN,TAMMY	20384306
SEIU COPE (Service Employees International Union Committee On Political Education)	BROWN,SHERROD	14282650
American Crossroads	AMODEI,MARK	4906548
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	BACHUS,SPENCER	20608066
Crossroads Grassroots Policy Strategies	BROWN,SHERROD	640171195
AMERICANS FOR TAX REFORM	BARROW,JOHN	111027760
NARAL Pro-Choice America	BROWNLEY,JULIA	854599
Congressional Elections PAC	BLACK,DIANE	4500000
Faith Family Freedom Fund	BACHMANN,MICHELE	750000
USA PAC	BLACK,DIANE	2400000
Workers' Voice	BALDWIN,TAMMY	24228807
THE CONSERVATIVE STRIKEFORCE	BOUSTANY,CHARLES	10708200
Crossroads Grassroots Policy Strategies	BISHOP,TIMOTHY	85806678
Faith Family Freedom Fund	BARR,GARLAND	750000
Crossroads Grassroots Policy Strategies	BALDWIN,TAMMY	605639602
YG ACTION FUND	BARROW,JOHN	16260000
FREEDOMWORKS FOR AMERICA	BROWN,SHERROD	73425092
YG NETWORK INC.	BARROW,JOHN	12213500
American Crossroads	BALDWIN,TAMMY	134531527
SENATE CONSERVATIVES FUND	BROWN,SHERROD	2000000
FREEDOM'S DEFENSE FUND	BENTIVOLIO,KERRY	15638865
SUSAN B ANTHONY LIST INC	BLACKBURN,MARSHA	5092
AMERICAN ACTION NETWORK INC	BISHOP,TIMOTHY	1693000
Citizens for a Working America PAC	BROOKS,SUSAN	6056448
Crossroads Grassroots Policy Strategies	BUSTOS,CHERI	137309430
United Food and Commercial Workers International Union Working Families Advocacy Project	BROWN,SHERROD	22000000
SUSAN B ANTHONY LIST INC	BROWN,SHERROD	3923311
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	BROWNLEY,JULIA	46719603
Service Employees International Union PEA - Federal	BROWN,SHERROD	171436119
National Right to Life Political Action Committee	BARLETTA,LOU	334
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	BONNER,JO	12367984
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC	BALDWIN,TAMMY	751588
FREEDOMWORKS FOR AMERICA	AMASH,JUSTIN	8633200
The Voices of the American Federation of Government Employees	BROWN,SHERROD	5000000
THE CONSERVATIVE STRIKEFORCE	BACHMANN,MICHELE	2377900
CREDO SUPERPAC	BACHMANN,MICHELE	4539253
SUSAN B ANTHONY LIST INC	BALDWIN,TAMMY	2137974
The Tea Party Leadership Fund	BACHMANN,MICHELE	500000
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	BUSTOS,CHERI	214938989
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	BRALEY,BRUCE	41601445
TEA PARTY VICTORY FUND	BACHMANN,MICHELE	1800000
Conservative Action Fund	BACHUS,SPENCER	6999850
Working America	BALDWIN,TAMMY	2753505
Heritage Action for America	BROWN,SHERROD	534161
FREEDOMWORKS FOR AMERICA	BARR,GARLAND	3625000
Conservative Action Fund	AMODEI,MARK	225000
The 60 Plus Association, Inc.	BARR,GARLAND	327243
SEIU COPE (Service Employees International Union Committee On Political Education)	BUSTOS,CHERI	608106
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	BISHOP,TIMOTHY	65721970
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	BROOKS,SUSAN	1190000
OHIO LEGISLATIVE BLACK CAUCUS ACTION FUND	BEATTY,JOYCE	634474
Working America	BROWN,SHERROD	14313374
Service Employees International Union PEA - Federal	BUSTOS,CHERI	32057148
NATIONAL HORIZON	BOUSTANY,CHARLES	8835500
AMERICAN MAJORITY ACTION INC.	BALDWIN,TAMMY	2631400
Now or Never PAC	BROWN,SHERROD	120000000
Faith Family Freedom Fund	BENTIVOLIO,KERRY	1000000
CLUB FOR GROWTH ACTION	BROWN,SHERROD	82801456
